"Time (s)","Linear Acceleration x (m/s2)","Linear Acceleration y (m/s2)","Linear Acceleration z (m/s2)","Absolute acceleration (m/s2)"
2.834587375E0,1.550880689E0,-1.483428232E0,-1.886726922E-1,2.154387991E0
2.844550375E0,2.262793959E0,-1.217907339E0,6.231611609E-2,2.570489853E0
2.854512375E0,2.417861972E0,-9.068783701E-1,1.884446508E-1,2.589207654E0
2.864474375E0,3.031381951E0,-8.437654247E-1,-2.814112866E-1,3.159178522E0
2.874437375E0,3.302199252E0,-3.620086493E-1,1.236984318E-1,3.324285106E0
2.884399375E0,2.961388148E0,-1.164380904E-1,-4.579539299E-3,2.963679903E0
2.894362375E0,2.773120084E0,2.622512583E-1,1.766677737E-2,2.785548929E0
2.904324375E0,2.411814050E0,5.828695328E-1,8.114298105E-2,2.482572877E0
2.914287375E0,1.363848725E0,6.018093221E-1,-1.994824398E-1,1.504011652E0
2.924249375E0,2.684658252E-1,7.943718014E-1,2.715920573E-1,8.813981528E-1
2.934212375E0,-2.751850891E-2,2.006746139E-1,-1.996157563E-1,2.843835775E-1
2.944174375E0,2.128881318E-1,6.564731871E-1,2.630896211E-1,7.385760291E-1
2.954137375E0,6.238007002E-2,3.089433400E-1,-1.451197064E-1,3.469826936E-1
2.964099375E0,6.800035888E-2,5.708116239E-1,2.017055511E-2,5.752015387E-1
2.974062375E0,1.485358965E-1,5.943828100E-1,7.601731181E-2,6.173592707E-1
2.984024375E0,3.312190938E-2,5.325277834E-1,-5.915335715E-2,5.368258756E-1
2.993986375E0,5.182505091E-2,6.649811782E-1,3.601475537E-2,6.679692103E-1
3.003949375E0,5.011344298E-2,5.251461853E-1,-1.635466218E-2,5.277853239E-1
3.013911375E0,7.702070315E-2,3.721929641E-1,4.320390701E-2,3.825262982E-1
3.023874375E0,-2.735975472E-2,3.078882100E-1,-1.466148394E-1,3.421105335E-1
3.033836375E0,8.608884841E-2,-1.063170900E-1,1.214940315E-1,1.829628737E-1
