"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.242670125E0,-3.833043855E-3,-1.105348673E-2,5.620776676E-3,1.297940386E-2
2.252633125E0,-4.154649097E-3,-1.189412456E-2,4.502016818E-4,1.260690246E-2
2.262596125E0,6.241799332E-3,1.916419342E-2,-1.304022502E-3,2.019719889E-2
2.272559125E0,-9.133636951E-3,-2.482744865E-2,1.272773487E-3,2.648481608E-2
2.282522125E0,8.526050486E-3,2.290811390E-2,-5.613456015E-4,2.444975108E-2
2.292484125E0,-7.843546569E-3,-2.002708055E-2,5.739647895E-5,2.150833495E-2
2.302447125E0,6.774011999E-3,1.482278015E-2,1.096295658E-3,1.633413341E-2
2.312410125E0,-4.078651313E-3,-1.069422904E-2,-7.167202421E-4,1.146802595E-2
2.322373125E0,2.053810051E-3,6.321240216E-3,-1.757483697E-3,6.874951821E-3
2.332336125E0,-5.194749683E-4,-2.139056101E-3,6.097834557E-6,2.201238840E-3
2.342299125E0,-9.586303495E-4,1.592519693E-4,1.490810188E-3,1.779564090E-3
2.352262125E0,6.318220403E-4,2.627933864E-3,3.716800129E-4,2.728256131E-3
2.362224125E0,-5.895034410E-4,-4.190557171E-3,3.585545346E-5,4.231969910E-3
2.372187125E0,1.758964034E-3,4.142900929E-3,2.025020076E-4,4.505395614E-3
2.382150125E0,-1.900485717E-3,-4.584810697E-3,-1.564922277E-4,4.965563906E-3
2.392113125E0,3.323614597E-3,6.950791925E-3,-3.148302203E-3,8.322963964E-3
2.402076125E0,1.853851974E-2,5.081784725E-2,9.287310531E-4,5.410168994E-2
2.412039125E0,-3.874203190E-2,-1.031639203E-1,1.660339534E-3,1.102111438E-1
2.422001125E0,2.591419406E-2,7.137300074E-2,-1.627865480E-3,7.594932939E-2
2.431964125E0,-1.712461747E-2,-4.849937931E-2,1.645072480E-3,5.146016498E-2
2.441927125E0,9.007383138E-3,1.719388366E-2,-6.148102693E-5,1.941047053E-2
2.451890125E0,1.095101470E-3,2.628925722E-3,-7.636314258E-4,2.948496335E-3
2.461853125E0,-5.735107698E-3,-1.866144873E-2,3.114730120E-3,1.976974134E-2
2.471816125E0,9.426623583E-4,4.032023251E-3,3.356809914E-1,3.357065293E-1
2.481779125E0,-7.128492743E-2,-1.786200851E-1,1.561721325E0,1.573518405E0
2.491741125E0,-2.040378749E-2,-3.456005454E-2,2.857805014E0,2.858086809E0
2.501704125E0,5.645104870E-2,2.177262455E-1,3.971333265E0,3.977697744E0
2.511667125E0,3.951503709E-2,2.189708948E-1,4.636550903E0,4.641886898E0
2.521630125E0,-2.261198126E-2,1.931530237E-2,4.957652569E0,4.957741762E0
2.531593125E0,-3.176600114E-2,-3.704597428E-2,5.165256500E0,5.165487024E0
2.541556125E0,1.039556973E-2,1.034333780E-1,5.304680347E0,5.305698834E0
2.551518125E0,7.049891353E-2,2.994513810E-1,5.420091152E0,5.428814726E0
2.561481125E0,3.609486669E-2,2.485202998E-1,5.437248230E0,5.443044506E0
2.571443042E0,-5.579596013E-2,-5.777470767E-2,5.401793003E0,5.402390096E0
2.581406042E0,-9.414349683E-3,7.699961960E-2,5.403074265E0,5.403631101E0
2.591369042E0,5.447644740E-2,2.697471380E-1,5.400403023E0,5.407410102E0
2.601332042E0,1.758421026E-2,1.646319032E-1,5.333772182E0,5.336341309E0
2.611294042E0,-3.757361323E-2,5.682026967E-3,5.259314060E0,5.259451345E0
2.621257042E0,1.812879741E-2,1.597062200E-1,5.283892632E0,5.286336735E0
2.631220042E0,2.192723565E-2,1.748045683E-1,5.274297237E0,5.277238747E0
2.641183042E0,-2.693404630E-2,1.936385967E-2,5.260382652E0,5.260487245E0
2.651146042E0,-1.156196557E-2,5.876806006E-2,5.316306114E0,5.316643496E0
2.661109042E0,2.795561589E-2,1.892829239E-1,5.445665836E0,5.449026146E0
2.671072042E0,2.360417321E-2,1.732252687E-1,5.580741882E0,5.583479570E0
2.681034042E0,2.290096134E-3,1.057879105E-1,5.738854885E0,5.739830287E0
2.690997042E0,-7.031939458E-3,7.611356676E-2,5.991063595E0,5.991551195E0
2.700960042E0,-1.219323836E-3,1.170562059E-1,6.245390415E0,6.246487419E0
2.710923042E0,5.449165124E-3,1.081404388E-1,6.440662861E0,6.441572955E0
2.720886042E0,-5.056206603E-3,7.033287734E-2,6.660503864E0,6.660877120E0
2.730849042E0,-2.425281797E-3,1.119472310E-1,6.816258430E0,6.817178086E0
2.740811042E0,1.241145469E-2,1.425759792E-1,6.927003384E0,6.928481640E0
2.750774042E0,5.374723300E-2,2.718530297E-1,6.894834518E0,6.900401138E0
2.760737042E0,1.767231897E-2,1.870366782E-1,6.604773998E0,6.607445391E0
2.770700042E0,-1.839457080E-2,5.354852974E-2,6.311892033E0,6.312145977E0
2.780663042E0,-2.158335410E-4,9.752903879E-2,5.992982864E0,5.993776403E0
2.790626042E0,2.279793099E-2,1.577881575E-1,5.735268593E0,5.737484003E0
2.800589042E0,-1.429910772E-3,1.017278358E-1,5.605179787E0,5.606103017E0
2.810551042E0,-1.261878386E-2,6.794295460E-2,5.451816082E0,5.452254036E0
2.820514042E0,1.722646318E-2,1.428800523E-1,5.481640339E0,5.483529180E0
2.830477042E0,4.188510031E-2,2.302041799E-1,5.421916962E0,5.426963411E0
2.840440042E0,-2.247125097E-2,3.444638848E-2,5.311511993E0,5.311671222E0
2.850403042E0,2.999982331E-3,8.274030685E-2,5.464168549E0,5.464795777E0
2.860366042E0,1.627876982E-2,1.449605376E-1,5.507269859E0,5.509201381E0
2.870328042E0,-1.972881518E-2,4.036508501E-2,5.445542812E0,5.445728150E0
2.880291042E0,-4.725630861E-3,5.525375158E-2,5.437047482E0,5.437330285E0
2.890254042E0,4.911424126E-3,8.362809569E-2,5.464615345E0,5.465257418E0
2.900217042E0,3.193505108E-2,1.700884253E-1,5.374126434E0,5.376912204E0
2.910180042E0,9.187221527E-3,1.113882586E-1,5.092282772E0,5.093509162E0
2.920143042E0,5.391389132E-4,8.857934922E-2,4.974633694E0,4.975422291E0
2.930105042E0,1.069133170E-2,1.169885248E-1,4.773813725E0,4.775258956E0
2.940068042E0,-7.607514504E-3,5.640400946E-2,4.600059032E0,4.600411111E0
2.950031042E0,5.227835849E-3,1.182594746E-1,4.523532391E0,4.525080985E0
2.959994042E0,1.895749569E-2,1.341034174E-1,4.484197140E0,4.486241980E0
2.969957042E0,4.137752112E-4,7.331089675E-2,4.573241234E0,4.573828816E0
2.979920042E0,2.251428366E-2,1.494389474E-1,4.704804420E0,4.707230983E0
2.989882042E0,1.777700894E-2,1.287181377E-1,4.821864605E0,4.823615102E0
2.999845042E0,-5.140291061E-3,7.598169148E-2,4.918082714E0,4.918672303E0
3.009808042E0,3.309302963E-3,9.645695239E-2,4.974747658E0,4.975683788E0
3.019771042E0,-1.294849627E-2,6.523511559E-2,5.126502991E0,5.126934386E0
3.029734042E0,-2.553707920E-2,-3.931866214E-2,5.317888737E0,5.318095403E0
3.039697042E0,-8.660092950E-3,2.971047163E-2,5.544500828E0,5.544587193E0
3.049660042E0,-2.297701500E-2,3.727666661E-2,5.565340519E0,5.565512787E0
3.059622042E0,9.504495189E-3,1.018474102E-1,5.381773472E0,5.382745483E0
3.069585042E0,-3.828846384E-3,5.943665653E-2,5.008433342E0,5.008787470E0
3.079548042E0,-1.529242285E-2,5.439715460E-2,4.492398262E0,4.492753616E0
3.089511042E0,2.947799861E-2,1.614356339E-1,3.981302261E0,3.984682938E0
3.099474042E0,4.362791777E-3,9.125921130E-2,3.477033854E0,3.478233991E0
3.109437042E0,1.401157118E-2,7.525329292E-2,2.897480726E0,2.898491667E0
