"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.629728458E0,4.145497740E-2,-7.529985845E-2,4.268467426E-3,8.606278899E-2
2.639690458E0,2.714204872E-2,1.621432900E-2,-5.140228808E-2,6.034724926E-2
2.649652458E0,1.313309303E-2,8.833213270E-2,-5.111577451E-2,1.028973576E-1
2.659614458E0,1.928468824E-3,6.902988911E-2,-8.993017673E-3,6.963992353E-2
2.669576458E0,1.093165745E-2,6.790956259E-3,-2.429401159E-2,2.749213016E-2
2.679538458E0,3.118577979E-2,-5.448435545E-2,-7.496020831E-2,9.777592076E-2
2.689501458E0,1.149315461E-2,-3.888515353E-2,-7.437950671E-2,8.471398224E-2
2.699463458E0,-7.808860573E-3,-2.576575577E-2,-5.049129188E-2,5.722082689E-2
2.709425458E0,6.275396291E-3,2.512840927E-2,3.265596852E-3,2.610520396E-2
2.719387458E0,-1.989434955E-2,4.908152819E-3,5.235699221E-2,5.622392500E-2
2.729349458E0,-7.629191168E-3,-7.261072397E-3,8.948578835E-2,9.010346301E-2
2.739311458E0,-8.619433127E-3,-4.132636607E-2,7.628745317E-2,8.718909721E-2
2.749273458E0,2.472246175E-3,-1.392105103E-2,4.996796608E-2,5.192981125E-2
2.759235458E0,4.058225763E-3,6.598348975E-2,1.898174308E-2,6.877933328E-2
2.769197458E0,-2.728153908E-2,5.292314887E-2,1.126466095E-2,6.059731551E-2
2.779159458E0,-5.099411588E-4,5.556550562E-2,1.911272071E-2,5.876292665E-2
2.789122458E0,1.575404350E-2,8.759129047E-4,2.099457398E-2,2.626269686E-2
2.799084458E0,3.573496838E-2,-4.884763956E-3,2.530090213E-2,4.405660601E-2
2.809046458E0,2.773937378E-2,1.373218596E-2,3.476571701E-2,4.654783420E-2
2.819008458E0,2.629907666E-2,1.348660290E-2,2.643343471E-2,3.965168800E-2
2.828970458E0,2.843368953E-2,3.569432795E-2,-6.299351603E-3,4.606779329E-2
2.838932458E0,2.983091825E-3,-3.324142098E-2,1.499445364E-2,3.658858491E-2
2.848894458E0,7.279861146E-3,-3.347647905E-2,2.333053663E-2,4.144858222E-2
2.858856458E0,1.532121249E-2,-1.768256485E-2,-1.457886279E-2,2.756729752E-2
2.868818458E0,2.921527040E-3,-1.367020547E-2,-3.944005430E-2,4.184408824E-2
2.878780458E0,-1.557464361E-2,1.314044774E-2,-3.975229561E-2,4.467086183E-2
2.888742458E0,-1.093514980E-2,3.936345577E-3,-3.407647647E-2,3.600386877E-2
2.898705458E0,-1.457732104E-2,-5.846046209E-3,-8.387830853E-3,1.780534334E-2
2.908667458E0,-1.779904779E-2,-3.072302520E-2,4.330447912E-3,3.576958427E-2
2.918629458E0,-1.335287069E-2,-6.099113703E-2,3.250130966E-2,7.038858630E-2
2.928591458E0,3.408773693E-3,2.585054040E-3,2.693402946E-2,2.727167368E-2
2.938553458E0,1.772752446E-2,3.215793192E-2,9.782318696E-3,3.800120351E-2
2.948515458E0,3.753494464E-3,6.004505754E-2,6.053505421E-2,8.534629718E-2
2.958477458E0,1.921712777E-2,1.420639515E-2,1.056328744E-1,1.083024645E-1
